x_p,delta_V
0.3119318807,-0.0065317674
0.3120284327,-0.0065086140
0.3121249846,-0.0064857261
0.3122215366,-0.0064631027
0.3123180886,-0.0064407427
0.3124146406,-0.0064185389
0.3125111926,-0.0063965652
0.3126077446,-0.0063748402
0.3127042966,-0.0063533624
0.3128008486,-0.0063321305
0.3128974006,-0.0063111431
0.3129939526,-0.0062903988
0.3130905047,-0.0062698961
0.3131870567,-0.0062496336
0.3132836088,-0.0062296101
0.3133801608,-0.0062098240
0.3134767129,-0.0061902739
0.3135732650,-0.0061709586
0.3136698170,-0.0061518765
0.3137663691,-0.0061330263
0.3138629212,-0.0061144066
0.3139594733,-0.0060960159
0.3140560254,-0.0060778530
0.3141525775,-0.0060599163
0.3142491296,-0.0060422045
0.3143456817,-0.0060247161
0.3144422339,-0.0060074499
0.3145387860,-0.0059904043
0.3146353381,-0.0059735781
0.3147318903,-0.0059569697
0.3148284424,-0.0059405778
0.3149249946,-0.0059244010
0.3150215468,-0.0059084379
0.3151180989,-0.0058926871
0.3152146511,-0.0058771472
0.3153112033,-0.0058618168
0.3154077555,-0.0058466945
0.3155043077,-0.0058317788
0.3156008599,-0.0058170500
0.3156974121,-0.0058024700
0.3157939643,-0.0057880846
0.3158905165,-0.0057738921
0.3159870687,-0.0057598907
0.3160836209,-0.0057460785
0.3161801731,-0.0057324539
0.3162767254,-0.0057190150
0.3163732776,-0.0057057600
0.3164698299,-0.0056926870
0.3165663821,-0.0056797943
0.3166629344,-0.0056670800
0.3167594866,-0.0056545424
0.3168560389,-0.0056421794
0.3169525912,-0.0056299894
0.3170491434,-0.0056179704
0.3171456957,-0.0056061206
0.3172422480,-0.0055944381
0.3173388003,-0.0055829210
0.3174353526,-0.0055715674
0.3175319049,-0.0055603754
0.3176284572,-0.0055493433
0.3177250095,-0.0055384689
0.3178215618,-0.0055277504
0.3179181141,-0.0055171860
0.3180146664,-0.0055067736
0.3181112187,-0.0054965113
0.3182077711,-0.0054863972
0.3183043234,-0.0054764293
0.3184008757,-0.0054666057
0.3184974281,-0.0054569244
0.3185939804,-0.0054473835
0.3186905328,-0.0054379808
0.3187870851,-0.0054287146
0.3188836375,-0.0054196364
0.3189801898,-0.0054107204
0.3190767422,-0.0054019432
0.3191732946,-0.0053933034
0.3192698469,-0.0053847993
0.3193663993,-0.0053764293
0.3194629517,-0.0053681917
0.3195595041,-0.0053600849
0.3196560564,-0.0053521073
0.3197526088,-0.0053442573
0.3198491612,-0.0053365333
0.3199457136,-0.0053289335
0.3200422660,-0.0053214565
0.3201388184,-0.0053141006
0.3202353708,-0.0053068641
0.3203319232,-0.0052997454
0.3204284757,-0.0052927429
0.3205250281,-0.0052858551
0.3206215805,-0.0052790802
0.3207181329,-0.0052724166
0.3208146853,-0.0052658627
0.3209112378,-0.0052594170
0.3210077902,-0.0052530776
0.3211043426,-0.0052468432
0.3212008951,-0.0052407119
0.3212974475,-0.0052346823
0.3213939999,-0.0052287526
0.3214905524,-0.0052229213
0.3215871048,-0.0052171867
0.3216836573,-0.0052115472
0.3217802097,-0.0052060011
0.3218767622,-0.0052005469
0.3219733146,-0.0051951830
0.3220698671,-0.0051899031
0.3221664196,-0.0051846793
0.3222629720,-0.0051795377
0.3223595245,-0.0051744767
0.3224560770,-0.0051694945
0.3225526294,-0.0051645894
0.3226491819,-0.0051597597
0.3227457344,-0.0051550038
0.3228422868,-0.0051503198
0.3229388393,-0.0051457061
0.3230353918,-0.0051411609
0.3231319443,-0.0051366826
0.3232284967,-0.0051322694
0.3233250492,-0.0051279197
0.3234216017,-0.0051236316
0.3235181542,-0.0051194035
0.3236147067,-0.0051152337
0.3237112592,-0.0051111205
0.3238078117,-0.0051070621
0.3239043642,-0.0051030569
0.3240009166,-0.0050991031
0.3240974691,-0.0050951990
0.3241940216,-0.0050913429
0.3242905741,-0.0050875331
0.3243871266,-0.0050837679
0.3244836791,-0.0050800455
0.3245802316,-0.0050763643
0.3246767841,-0.0050727225
0.3247733366,-0.0050691184
0.3248698891,-0.0050655504
0.3249664416,-0.0050619270
0.3250629941,-0.0050581572
0.3251595466,-0.0050542397
0.3252560991,-0.0050501733
0.3253526516,-0.0050459402
0.3254492042,-0.0050415412
0.3255457567,-0.0050369867
0.3256423092,-0.0050322754
0.3257388617,-0.0050274061
0.3258354142,-0.0050223773
0.3259319667,-0.0050171877
0.3260285192,-0.0050118360
0.3261250717,-0.0050063208
0.3262216242,-0.0050006408
0.3263181767,-0.0049947946
0.3264147292,-0.0049887809
0.3265112817,-0.0049825983
0.3266078342,-0.0049762455
0.3267043868,-0.0049697211
0.3268009393,-0.0049630238
0.3268974918,-0.0049561523
0.3269940443,-0.0049491052
0.3270905968,-0.0049418810
0.3271871493,-0.0049344786
0.3272837018,-0.0049268966
0.3273802543,-0.0049191336
0.3274768068,-0.0049111882
0.3275733593,-0.0049030591
0.3276699118,-0.0048947450
0.3277664643,-0.0048862445
0.3278630168,-0.0048775563
0.3279595693,-0.0048686790
0.3280561219,-0.0048596113
0.3281526744,-0.0048503518
